,Total lipid (fat),Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Iodine,Magnesium,Zinc,Selenium,Copper,Manganese,Chromium,Molybdenum,Chloride,Potassium,Choline,Protein.1,title,raitings,links
almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mixed Greens with Goat Cheese and Candied Almonds,4.7,https://www.epicurious.com/recipes/food/views/mixed-greens-with-goat-cheese-and-candied-almonds-104191
amaretto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Tagine with Apricots and Spiced Pine Nuts,4.4,https://www.epicurious.com/recipes/food/views/chicken-tagine-with-apricots-and-spiced-pine-nuts-241506
anchovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sophisto Joes,4.0,https://www.epicurious.com/recipes/food/views/sophisto-joes-240266
anise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anise-Almond Biscotti,5.0,https://www.epicurious.com/recipes/food/views/anise-almond-biscotti-102706
apple,0,0,0,0,0,0,1,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Best Cocoa Brownies,4.4,https://www.epicurious.com/recipes/food/views/best-cocoa-brownies-108346
apple juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apple-Matzoh Kugel,4.7,https://www.epicurious.com/recipes/food/views/apple-matzoh-kugel-104862
apricot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apricot-Glazed Turkey with Roasted Onion and Shallot Gravy,5.0,https://www.epicurious.com/recipes/food/views/apricot-glazed-turkey-with-roasted-onion-and-shallot-gravy-2602
artichoke,9,0,0,0,13,0,3,0,85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Artichoke Bruschetta,4.3,https://www.epicurious.com/recipes/food/views/artichoke-bruschetta-5864
arugula,0,0,0,0,1,0,5,0,61,16,14,7,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,My Favorite Falafel,4.6,https://www.epicurious.com/recipes/food/views/my-favorite-falafel-231755
asian pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Persian Love Cake,4.5,https://www.epicurious.com/recipes/food/views/persian-love-cake-232273
asparagus,0,0,0,0,0,0,5,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,Cream of Asparagus Soup,4.6,https://www.epicurious.com/recipes/food/views/cream-of-asparagus-soup-creme-dasperges-104746
avocado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pan-Seared Tuna with Ginger-Shiitake Cream Sauce,4.7,https://www.epicurious.com/recipes/food/views/pan-seared-tuna-with-ginger-shiitake-cream-sauce-100670
bacon,46,0,12,0,90,0,71,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,Penne in Cream Sauce with Sausage,4.3,https://www.epicurious.com/recipes/food/views/penne-in-cream-sauce-with-sausage-3072
banana,1,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aunt Holly's Banana Bread,4.7,https://www.epicurious.com/recipes/food/views/aunt-hollys-banana-bread-239027
barley,1,0,0,0,0,0,21,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,Barley and Lentil Soup with Swiss Chard,4.4,https://www.epicurious.com/recipes/food/views/barley-and-lentil-soup-with-swiss-chard-231578
